"SMS_Text","Label"
"Eh, ¿recuerdas cómo se deletrea su nombre? Sí, lo hice. Él es travieso hasta que me mojo.,,,","legitimo"
"Está bien si esa es la forma en que te sientes. Así es como es gota b...","legitimo"
"""Inglaterra contra Macedonia: no se pierda los goles y las noticias del equipo. Envíe un mensaje de texto con su equipo nacional al 87077, por ejemplo, INGLATERRA al 87077 Pruebe: GALES, ESCOCIA 4txt/̼1.20 POBOXox36504W45WQ 16+"""",,,""","smishing"
"¿En serio se escribe así su nombre?","legitimo"
"Voy a intentarlo durante 2 meses jaja solo bromeo,,,","legitimo"
"Entonces, paga primero, último... Entonces, ¿cuándo saldrán las acciones...?","legitimo"
"Después de terminar mi almuerzo me voy a lor. Ard 3 algo lor. ¿Ya terminaste tu almuerzo?","legitimo"
"Fffffffff. ¿Está bien, no hay manera de que pueda reunirme contigo antes?...","legitimo"
"Me obligué a comer un trozo. Aunque realmente no tengo hambre. Esto apesta. Mark se está preocupando. Él sabe que estoy enfermo cuando rechazo la pizza. Jajaja,,,","legitimo"
"Jajaja, siempre eres tan convincente.,,,","legitimo"
"¿Cogiste el autobús? ¿Estás friendo un huevo? ¿Hiciste un té? ¿Estás comiendo lo que te sobró de la cena de tu mamá? ¿Sientes mi Amor?,,,","legitimo"
"Ahhh. Trabajar. ¡Lo recuerdo vagamente! ¿Qué se siente? Jajaja,,,","legitimo"
"""Espera, eso todavía no está tan claro, ¿no estabas seguro de que fui sarcástico o que por eso x no quiere vivir con nosotros?"",,","legitimo"
"Sí, entró a las 2 y se disculpó mucho. n se había peleado y ella estaba actuando como una niña mimada y él quedó atrapado en eso. ¡Hasta las 2! ¡Pero no iremos allí! No lo estoy haciendo tan mal, saludos. ¿Tú? ,,,","legitimo"
"K cuéntame cualquier cosa sobre ti.,,,","legitimo"
"¿Por miedo a desmayarte con el peso de todas esas tareas del hogar que acabas de hacer? Rápido, tómate una taza de té,,,","legitimo"
"Gracias por su suscripción a Ringtone UK, se le cobrará a su teléfono móvil �5/mes. Confirme respondiendo SÍ o NO. Si responde NO no se le cobrará,,,","smishing"
"Sí... Ok, me voy a casa, miro los horarios y luego envío un mensaje _ otra vez... Xuhui también aprenderá el 2 de mayo, pero su lección es a las 8 a. m.","legitimo"
"""Ups, te avisaré cuando mi compañero de cuarto haya terminado"",","legitimo"
"Veo la letra B en mi auto...","legitimo"
"Cualquier cosa... tú decides...,,,","legitimo"
"¡Hola! ¿Cómo estás y cómo te fue el sábado? Solo te estaba enviando un mensaje de texto para ver si habías decidido hacer algo también. ¡No es que esté intentando invitarme ni nada por el estilo!","legitimo"
"Por favor continúe con los vatios. Sólo quería estar seguro. Que tengas un gran fin de semana. Abiola,,,","legitimo"
"""¿Se me olvidó decírtelo? Te quiero, te necesito, te anhelo... Pero sobre todo... Te amo mi dulce corcel árabe... Mmmmmm... Delicioso"",,,","legitimo"
"07732584351 - Rodger Burns - MSG = Intentamos llamarlo para responder a nuestro SMS y solicitar un móvil Nokia + una videocámara gratis. Por favor llame ahora al 08000930705 para la entrega mañana,,,","smishing"
"¿A QUIEN TE VES?,,,","legitimo"
"No hay llamadas..mensajes..llamadas perdidas,,,","legitimo"
"¿No te vacunaron contra la hepatitis B en Nigeria?...","legitimo"
"""Muy bien, ¿pasa algo?""","legitimo"
"""Sí, con suerte, si Tyler no puede hacerlo, tal vez podría preguntar un poco por ahí"",","legitimo"
"No sabes lo testarudo que soy. Ni siquiera quería ir al hospital. Seguí diciéndole a Mark que no soy un tonto débil. Los hospitales son para tontos débiles.,,,","legitimo"
"Lo que piensas de mí. Primera vez que me viste en clase.,,,","legitimo"
"SMS. ac Sptv: Los New Jersey Devils y los Detroit Red Wings juegan hockey sobre hielo. ¿Correcto o Incorrecto? ¿Fin? Responder FIN SPTV,,,","smishing"
"""¡Felicidades! Un pase de cine especial de 1 año para 2 es tuyo. ¡Llama al 09061209465 ahora! C Superman V, Matrix 3, Star Wars 3, etc. ¡los 4 GRATIS! bx420-ip4-5we. 150 h. ¡No te lo pierdas! "",,","smishing"
"""Lo siento, te llamaré más tarde en la reunión"".","legitimo"
"Dime hasta donde llegaste,,,","legitimo"
"Sí...gauti y sehwag de la serie odi....","legitimo"
"Tendrás que comprar una hamburguesa de $1 para ti de camino a casa. Ni siquiera puedo moverme. El dolor me esta matando.,,,","legitimo"
"Ja, ja, buen chiste. Las chicas buscan situaciones.,,,","legitimo"
"Es parte de comprobar el coeficiente intelectual...","legitimo"
"""Lo siento, mis compañeros de cuarto tardaron una eternidad, ¿te parece si llego ahora?""","legitimo"
"Ok, verifiqué nuevamente si el peluquero ya dijo que lo cortaría muy corto. Dijo que me cortaría hasta que me viera bien...","legitimo"
"""Como cliente valioso, me complace informarle que después de una revisión reciente de su número de Mob, se le otorgará un premio de bonificación de �1500, llame al 09066364589"",,,","smishing"
"""Hoy es el \día dedicado a la canción..\"""" ¿Qué canción me dedicarás? Envía esto a todos tus valiosos amigos, pero primero respóndeme..."""""",,,","legitimo"
"""Urgent UR otorgó un viaje de cortesía a EuroDisinc Trav, Aco&Entry41 O �1000. Para reclamar texto DIS al 87121 18+6*�1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"",,,","smishing"
"""¿Has oído hablar de la nueva \Divorce Barbie\""""? ¡Viene con todas las cosas de Ken!"""""",,,","smishing"
"Planeo donar este fin de mes.,,,","legitimo"
"Wah, hombre afortunado... Entonces puedes ahorrar dinero... Je...,,,","legitimo"
"Terminada la clase donde estas.,,,","legitimo"
"HOLA BEBÉ, ESTOY EN CASA AHORA ¿QUIERES HACER ALGO? XX,,,","legitimo"
"K..k:) ¿Dónde estás? ¿Cómo te desempeñaste? ,,,","legitimo"
"Puedes llamarme ahora...,,,","legitimo"
"Estoy esperando machan. Llámame cuando estés libre.,,,","legitimo"
"Eso es genial. Soy un caballero y te trataré con dignidad y respeto.,,,","legitimo"
"Me gustan mucho ustedes :) pero soy muy tímida pa.,,,","legitimo"
"Aquí no es lo mismo. Sigo buscando trabajo. ¿Cuánto ganan los Ta allí?","legitimo"
"""Lo siento, te llamaré más tarde"",,,","legitimo"
"K. ¿Me llamaste hace un momento, ah? ,,,","legitimo"
"Ok, estoy de camino a casa hola hola,,,","legitimo"
"Estarás en el lugar de ese hombre,,,","legitimo"
"Sí, próxima parada.,,,","legitimo"
"""Te llamo más tarde, no tengo red. Si es urgente, envíame un mensaje de texto."",,,","legitimo"
"¿De verdad cuando te estás molestando? Sólo necesito 2 entradas más y una chaqueta más y listo. Ya usé todos mis multis.,,,","legitimo"
"Sí, comencé a enviar solicitudes para hacerlo, pero el dolor volvió, así que estoy de nuevo en la cama. Monedas dobles en la fábrica también. Tengo que cobrar todos mis nitros.,,,","legitimo"
"Realmente todavía no estoy preparado para esto esta noche, nena...","legitimo"
"""Ela kano.,il descargar, ven cuando estés libre.."",,,","legitimo"
"¡Sí, hazlo! ¡No te pares a cerrar aunque atraparás algo!","legitimo"
"Lamento ser una molestia. ¿Está bien si nos encontramos otra noche? Pasé la tarde en urgencias y eso significa que no he hecho nada de eso42moro y eso incluye todas mis hojas de tiempo y eso. Lo siento. ,,,","legitimo"
"Sonríe en el placer Sonríe en el dolor Sonríe cuando los problemas llueven a cántaros como la lluvia Sonríe cuando sum1 te duele Sonríe porque a ALGUIEN todavía le encanta verte sonriendo!!,,,","legitimo"
"Llame a nuestro representante de servicio al cliente al 0800 169 6031 entre las 10 a. m. y las 9 p. m., ya que HA GANADO un premio garantizado de £ 1000 en efectivo o £ 5000.","smishing"
"No tengo pensado comprar más tarde. Ya verifiqué que solo tuve 530 shows en la tarde. ¿Ya terminaste el trabajo?,,,","legitimo"
"""Su tono de llamada gratuito está esperando ser recogido. Simplemente envíe un mensaje de texto con la contraseña \MIX\"""" al 85069 para verificar. Obtenga Usher y Britney. FML"", PO Box 5249,"" MK17 92H. 450Ppw 16"""""",","smishing"
"Viendo una película en telugu... ¿y tú?","legitimo"
"veo. Cuando terminemos tenemos un montón de préstamos que pagar,,,","legitimo"
"""Hola. He estado bien, ¡ahora de vacaciones! Sí, voy a correr un poco. Olvidé que tengo cita con el peluquero a las cuatro, así que necesito llegar a casa y ducharme de antemano. ¿Eso te causa problemas?\""""","legitimo"
",,","ham"""""""
"Por favor, no me envíes más mensajes de texto. No tengo nada más que decir.,,,","legitimo"
"¡Está bien, indica tu precio siempre que sea legal! ¿Cuándo puedo recogerlos? Tienes x y xx,,,","legitimo"
"Todavía estoy buscando un auto para comprar. Y todavía no he pasado el examen de conducir...","legitimo"
"Según su solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha configurado como su tono de llamada para todas las personas que llaman. Presiona *9 para copiar Callertune de tus amigos,,,","legitimo"
"""Guau. ¡Tienes razón! No fue mi intención hacer eso. Supongo que una vez que me di por vencido con los hombres de Boston y cambié mi ubicación de búsqueda a Nueva York, algo cambió. Porque en mi página de inicio de sesión todavía dice Boston"".","legitimo"
"Umma mi vida y vava umma te amo mucho querida,,,","legitimo"
"Muchas gracias por tus deseos en mi cumpleaños. Gracias por hacer que mi cumpleaños sea realmente memorable.,,,","legitimo"
"""Está bien, te llamaré cuando tenga algo de efectivo"",","legitimo"
"¿Cómo probaría mi dirección IP que considerando que mi computadora no es un servidor de Minecraft?","legitimo"
"¡Lo sé! Viejos gruñones. Mi mamá decía: ""Será mejor que no mientas"". Por otra parte, siempre soy yo quien hace bromas...,,,","legitimo"
"No te preocupes. Supongo que está ocupado...","legitimo"
"¿Cuál es el plural del sustantivo investigación?,,,","legitimo"
"Voy a cenar.msj después.,,,","legitimo"
"Estoy bien porque me gusta probar cosas nuevas. Pero te asusté como a mah. Porque no dijiste demasiado alto...","legitimo"
"¡CABALLERO! Estamos intentando contactar con usted. El sorteo del fin de semana pasado muestra que ganaste un premio de 1000€ GARANTIZADOS. Llame al 09064012160. Código de reclamo K52. Válido sólo 12 horas. 150 ppm,,,","smishing"
"""E, tu frase inicial es muy formal... De todos modos, yo también estoy bien, pero estoy comiendo demasiado y engordando... Jaja... ¿Pasó algo especial?""","legitimo"
"""Cuando entré a mi cabaña, mi asistente personal me dijo: ''¡¡Feliz cumpleaños, jefe!!''. Me sentí especial. Me pidió 4 almuerzos. Después del almuerzo, me invitó a su apartamento. Fuimos allí"".","legitimo"
"Eres un ganador Has sido seleccionado especialmente 2 recibe �1000 o un viaje de 4* (vuelos incluidos) habla con un operador en vivo 2 reclama 0871277810910p/min (18+) ,,,","smishing"
"¡Bien! Sí, debemos hablar el viernes: ¡se necesita una proporción de huevo y papa para la tortilla! ,,,","legitimo"
"Hmm... mi tío me acaba de informar que le pagará directamente a la escuela. Así que por favor compre comida.,,,","legitimo"
"¡PRIVADO! Su estado de cuenta de 2004 para 07742676969 muestra 786 puntos de bonificación no canjeados. Para reclamar llamar al 08719180248 Código Identificador: 45239 Caduca,,,","smishing"
"""¡URGENTE! Su número de teléfono móvil recibió el premio de bonificación de llamadas 2000 el 9/5/03. ¡Éste es nuestro último intento de comunicarnos con usted! Llame desde el teléfono fijo 09064019788 BOX42WR29C, 150PPM"",,,","smishing"
"aquí está mi nueva dirección: manzanas, pares y todas esas tonterías...","legitimo"
"Los números de Voda de hoy que terminan en 7548 son seleccionados para recibir un premio de $350. Si tiene una coincidencia, llame al 08712300220 citando el código de reclamo 4041 aplicación de tarifas estándar,,,","smishing"
"Voy a Sao Mu hoy. Se hará sólo a las 12 ,,,","legitimo"
"�� predecir a qué hora terminaré de comprar?,,,","legitimo"
"""Cosas buenas, servirá."" ,,,","legitimo"
"""Solo para que lo sepas, todavía Tunde no ha enviado dinero todavía. Solo le envié un mensaje de texto para que no se moleste en enviarlo. Así que se acabó, no tienes que involucrarte en nada. No debería haberte impuesto nada en primer lugar, así que por eso, te pido disculpas"".","legitimo"
"¿Estás ahí en la habitación?...","legitimo"
"Hola chica. ¿CÓMO ESTÁS? ¡ESPERO QUE ERES BIEN, YO Y DEL R BAK! ¡OTRA VEZ MUCHO TIEMPO NO C! LLAMAME SUM TIME DE LUCYxx,,,","legitimo"
"K..k:)cuanto cuesta?,,,","legitimo"
"Estoy en casa.,,,","legitimo"
"""Querida, te llamaré mañana. Por favor, acomodate."",,,","legitimo"
"Primero responde mi pregunta.,,,","legitimo"
"Sunshine Quiz Semanal Q! ¿Gana un reproductor de DVD Sony de primera categoría si sabes en qué país se encuentra el Algarve? Respuesta de texto al 82277. �1,50 SP:Tyrone,,,","smishing"
"¿Quieres echar un polvo esta noche? ¿Quieres que se envíen ubicaciones reales de Dogging directamente a tu mafia? ¡Únase a la red de dogging más grande del Reino Unido enviando mensajes de texto con GRAVEL al 69888! Nuevo Testamento. ec2a. 31p.msg@150p,,,","smishing"
"Sólo tengo msn. Soy yijue@hotmail.com,,,","legitimo"
"Él está ahí. Llamas y lo conoces,,,","legitimo"
"No, no. Revisaré todas las habitaciones antes de las actividades...","legitimo"
"No recibirás más mensajes del servicio de chat. Para servicios GRATUITOS, envíe un mensaje de texto a: 69988 Si no obtiene nada, debe verificar la edad con su red e intentarlo nuevamente.","smishing"
"Tengo c... Me da pereza escribir... Se me olvidó �_ en lect... Vi una bolsa pero no es muy agradable...,,,","legitimo"
"""K, envíame un mensaje de texto cuando estés en camino"",,,","legitimo"
"""Señor, esperando su correo."",,,","legitimo"
"""Un dulce pensamiento: \Nunca te canses de hacer pequeñas cosas 4 personas adorables..\"""" Porque..a veces esas pequeñas cosas ocupan la mayor parte de sus corazones.. Gud ni8"""""",,,","legitimo"
"Sé que lo eres. ¿Puedes abrir la parte de atrás?,,,","legitimo"
"Sí, no nos vemos en el punto...","legitimo"
"¿Cómo se llama el personal que está tomando clases para nosotros?","legitimo"
"""FreeMsg ¿Por qué no has respondido a mi mensaje de texto? Soy Randy, sexy, mujer y vivo localmente. Me encanta saber de ti. Netcollex Ltd 08700621170150p por respuesta de mensaje De parada a fin"",,,","smishing"
"Ummma.llamará después del check-in.Nuestra vida comenzará en Qatar, así que por favor oren mucho.,,,","legitimo"
"K..borré mi contacto ¿por qué?,,,","legitimo"
"Sindhu consiguió trabajo en birlasoft ..,,,","legitimo"
"El vino fluye y yo nunca tengo...,,,","legitimo"
"Sí, creo que el cine es mejor porque no es necesario bajar 2 plaza mah.,,,","legitimo"
"Ok... Tu respuesta típica...,,,","legitimo"
"Según su solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha configurado como su tono de llamada para todas las personas que llaman. Presiona *9 para copiar Callertune de tus amigos,,,","legitimo"
"""Estás en todas partes, en el suelo, en las ventanas, incluso en mi camisa. Y a veces, cuando abro la boca, eres todo lo que sale. Sueño con mi mundo sin ti, entonces la mitad de mis tareas también desaparecen. Un tiempo de alegría para mí, veré muchos programas de televisión. Pero supongo que, como todas las cosas, simplemente debes existir, como la lluvia, el granizo y la niebla, y cuando termine mi tiempo aquí, tú y yo nos convertiremos en uno"".","legitimo"
"Aaaaaaaaaaa ¿estás en el trabajo?,,,","legitimo"
"Ya me voy de casa...,,,","legitimo"
"""Hola mi amor. ¿Qué estás haciendo? ¿Llegaste a esa entrevista hoy? ¿Estás feliz? ¿Estás siendo un buen chico? ¿Piensas en mí? ¿Me estás extrañando?"",,,","legitimo"
"Anuncio de atención al cliente. Tienes una entrega de Año Nuevo esperándote. Llame ahora al 07046744435 para concertar la entrega.","smishing"
"Eres un ganador. Has sido seleccionado especialmente. 2. Recibe �1000 en efectivo o vacaciones 4* (vuelos incluidos). Habla con un operador en vivo. 2. Reclama 0871277810810.","smishing"
"Mantente a salvo por mí porque te necesito y ya te extraño y envidio a todos los que te ven en la vida real...","legitimo"
"Coche y casa nuevos para mis padres.:)Solo tengo un nuevo trabajo entre manos :),,,","legitimo"
"Estoy tan enamorado de ti. Estoy emocionado cada día que paso contigo. Me haces tan feliz.,,,","legitimo"
"-PLS STOP bootydelious (32/F) te está invitando a ser su amiga. Responde SÍ-434 o NO-434 Verla: www.SMS.ac/u/bootydelious ¿PARAR? Enviar STOP FRND al 62468,,,","smishing"
"""BangBabes Su pedido está en camino. DEBE recibir un mensaje de servicio 2 para descargar el contenido de UR. Si no lo recibe, vaya a wap. bangb. tv en el menú de servicio/Internet móvil de UR"",,,","smishing"
"Ya coloco todos tus puntos en el módulo de culturas electrónicas.,,,","legitimo"
"¡URGENTE! Estamos intentando contactar con usted. El sorteo del pasado fin de semana demuestra que has ganado un premio de 900€ GARANTIZADOS. Llame al 09061701939. Código de reclamo S89. Válido sólo 12 horas,,,","smishing"
"""Hola amigo, ¿cuál es la mejor manera de evitar malentendidos con nuestro ser querido?"",,,","legitimo"
"Gran escape. Me gusta el puente pero necesito su cerveza. Nos vemos tomo,,,","legitimo"
"Sí :)está completamente fuera de forma :)clark también es un desperdicio absoluto.,,,","legitimo"
"""Señor, necesito el número de cuenta de AXIS BANK y la dirección del banco"".","legitimo"
"""Hmmm.. Seguro que tengo tiempo para saltar... Ya, puedo ir 4 gratis aproximadamente... Muz te llama para hablar sobre liao...""...","legitimo"
"¿A qué hora bajas más tarde? ,,,","legitimo"
"""Maldita sea, no puedo creer que haya olvidado mi apellido Sr. Le daré una pista, es español y comienza con m..."",,,","legitimo"
"""Bueno, voy a terminar mi baño ahora. Que tengas una buena...buena noche"".","legitimo"
"Avísame cuando tengas el dinero para que carlos haga la llamada,,,","legitimo"
"¿Sigues yendo al centro comercial?","legitimo"
"Envíale un mensaje de texto. Si no responde, avíseme para que pueda iniciar sesión...","legitimo"
"¡Hola! Acabas de hablar con MANEESHA V. Nos gustaría saber si estuviste satisfecho con la experiencia. Responda al número gratuito con Sí o No.,,,","legitimo"
"Aumentaste mis esperanzas con la oferta de dinero. Estoy necesitado. Sobre todo cuando se acerca fin de mes y me perjudica estudiar. De todos modos, que tengas un gran fin de semana...","legitimo"
"Jajaja no. Puedes confiar en mí.,,,","legitimo"
"OK. Soy un caballero y te trataré con dignidad y respeto.,,,","legitimo"
"""Él lo hará, ¿ustedes cierran?""","legitimo"
"No está pasando nada genial. Adiós...","legitimo"
"Hola guapo! ¿Estás encontrando ese trabajo? ¿No ser vago? ¿Trabajando para recuperar esa red para mamá? ¿Dónde está mi juguete ahora? ¿Me extraña?,,,","legitimo"
"""Jaja increíble, llegaré en un minuto"",","legitimo"
"Llame a nuestro representante de servicio al cliente al TELÉFONO GRATUITO 0808 145 4742 entre las 9 a. m. y las 11 p. m., ya que HA GANADO un premio garantizado de £ 1000 en efectivo o £ 5000.","smishing"
"¿Tienes horarios de radio navideños? Si no, lo conseguiré ahora...","legitimo"
"Acabo de llegar a casa. Yo voy a bañarme primero. Pero mi hermana que usa net te dice cuando termine k...,,,","legitimo"
"¿Eres lo suficientemente único? Infórmate a partir del 30 de agosto. www.areyouunique.co.uk ,,,","smishing"
"Lo lamento. Me uní a la liga de personas que no se mantienen en contacto. Significas mucho para mí. Has sido un amigo en todo momento incluso a un gran coste personal. Que tengas una gran semana.|,,,","legitimo"
"Hola :)finalmente completé el curso :),,,","legitimo"
"Se detendrá sobre sí mismo. Sin embargo, le sugiero que se quede con alguien que pueda darle or por cada deposición...","legitimo"
"¿Cómo estás? Espero que te hayas adaptado al nuevo año escolar. Sólo te deseo un gran día...","legitimo"
"Buenos días querida que tengas un buen día,,,","legitimo"
"¿Tienes la historia de esa persona?","legitimo"
"¿Tu hámster está muerto? Oye, ¿mañana te veo a la 1:00 p.m. en Orchard MRT? ,,,","legitimo"
"Hola, soy Kate, ¿cómo está tu noche? Espero poder verte mañana un rato, ¡pero tengo que hacerlo, maldito babyjontet! Envía un mensaje de texto si puedes. :) xxx,,,","legitimo"
"Hola cariño, ya terminé la universidad, así que envíame un mensaje de texto cuando termines si puedes amar a Kate xxx...","legitimo"
"Buenos días durmiendo ga.,,,","legitimo"
"Llámame después a las 11 ok.,,,","legitimo"
"�� decir hasta que no compre ericsson oso no pueda oredi lar...,,,","legitimo"
"""Cuando entré a mi cabaña, mi asistente personal me dijo: ''¡¡Feliz cumpleaños, jefe!!''. Me sentí especial. Me pidió 4 almuerzos. Después del almuerzo, me invitó a su apartamento. Fuimos allí"".","legitimo"
"""Aight to, días seguidos"",","legitimo"
"Ambos :) disparo grandes cargas, ¡así que prepárate!","legitimo"
"""¿Qué pasa hermano? Espero que hayas tenido un buen descanso. Que tengas un semestre gratificante"".","legitimo"
"En casa para que siempre podamos charlar,,,","legitimo"
"K:)k:)bien:)estudia bien.,,,","legitimo"
"Si... Cómo �_ noe leh...,,,","legitimo"
"¡Suena genial! ¿Estás en casa ahora?,,,","legitimo"
"Finalmente el partido se encamina hacia el empate según tu predicción.,,,","legitimo"
"Cansado. No he dormido bien las últimas noches.,,,","legitimo"
"Fácil, ah?sen fue seleccionado significa que es bueno...","legitimo"
"Tengo que hacer el examen el 3 de marzo...","legitimo"
"Sí, deberías. Creo que puedes usar tu cajero automático GT ahora para registrarte. No estoy seguro, pero si puedo ayudar de alguna manera, házmelo saber. Pero cuando lo hagas, asegúrate de estar listo...","legitimo"
"Bueno, ningún problema. Tome su tiempo.,,,","legitimo"
"Hay un sistema operativo llamado ubandu que se ejecutará sin instalarlo en el disco duro... puedes usar ese sistema operativo para copiar los archivos importantes en el sistema y enviarlos al taller de reparación...","legitimo"
"""Lo siento, te llamaré más tarde"",,,","legitimo"
"U dice leh... Por supuesto que no pasa nada después. No digo muy romántico, solo un poco. Creo que el paisaje finito no es tan bonito.","legitimo"
"""¡500 móviles nuevos de 2004, DEBEN IR! Envíe un mensaje de texto: NOKIA al número: 89545 y ¡recoja el suyo hoy! Desde SÓLO �1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"",,,","smishing"
"Realmente agradecería que me llamaras. Sólo necesito alguien con quien hablar.,,,","legitimo"
"""¿Conocerás pronto a la pareja de tus sueños? ¿Tu carrera ha tenido un buen comienzo? 2 Infórmate gratis, envía un mensaje de texto a HORO seguido de tu signo zodiacal, por ejemplo, HORO ARIES"",,,","smishing"
"Hola compañía elama po mudyadhu.,,,","legitimo"
"Queridos buenos días ahora solo estoy levantado,,,","legitimo"
"Querido nos vamos a nuestro lugar de caucho,,,","legitimo"
"""Lo siento, se acabó la batería, sí, estoy aquí"",,,","legitimo"
"Sí:)aquí la televisión siempre está disponible en el lugar de trabajo...","legitimo"
"Envía mensajes de texto y conoce a alguien sexy hoy. Puedes encontrar una cita o incluso coquetear, depende de ti. Únete a 4 solo 10p. RESPONDER con NOMBRE Y EDAD, por ejemplo, Sam 25. 18 -msg recd@thirtyeight pence,,,","smishing"
"O estaré un poco más cerca como en la parada de autobús de la misma calle,,,","legitimo"
"¿Dónde estás? ¿Cuándo llegarás aquí?","legitimo"
"U 447801259231 tiene un admirador secreto que está buscando 2 póngase en contacto con U-descubra quién es R*revele quién piensa que UR es tan especial: llame al 09058094597,,,","smishing"
"Mañana audiencia final en el estuche de mi computadora portátil, así que no puedo.,,,","legitimo"
"POR FAVORSSSSSSEEEEEE TEL ME V AVENT HECHO DEPORTESx,,,","legitimo"
"""Está bien. No, no, solo sigo brillando. Se suponía que era una firma, pero suena mejor"".","legitimo"
"""Aunque te dije que ahora me gustan los relojes Baig Face, realmente me gusta el reloj que me diste porque es tuyo. Gracias por todo lo que has hecho hoy, estoy conmovido...""","legitimo"
"¿No recuerdas ese viejo comercial?","legitimo"
"Demasiado tarde. Dije que tengo el sitio web. No tenia o no tengo las pantuflas,,,","legitimo"
"Te pedí que lo llamaras ahora, ok...","legitimo"
"Kallis no batea en la segunda entrada.,,,","legitimo"
"No volvió a funcionar oh. Ok buenas noches entonces. Lo arreglaré y lo tendré listo cuando te despiertes. Te extrañamos mucho que tengas una buena noche de sueño.,,,","legitimo"
"Felicitaciones, recibió 500 vales de CD o 125 obsequios garantizados y entrada gratuita. 2 sorteos semanales de 100 mensajes de texto de MÚSICA a 87066 TnC www.Ldew.com1win150ppmx3age16,,,","smishing"
"Ranjith cal drpd Deeraj y deepak 5 minutos espera,,,","legitimo"
"""Cuando tu adorable trasero se enoja contigo, no te lo tomes en serio... porque estar enojado es la forma más infantil y verdadera de mostrar afecto profundo, cuidado y amor!... kettoda manda... Que tengas un buen día, da.""","legitimo"
"¿Qué haces? ¿Cómo estás? ,,,","legitimo"
"""Ups, que también tarda 3 días, y la compañía de envío, que tarda 2 semanas. La otra forma es usps, que tarda una semana, pero cuando se retrasa es posible que tengas que sobornar a Nipost para conseguir tus cosas"".","legitimo"
"""Estoy de vuelta, déjame saber cuando estés listo"",,,","legitimo"
"Sin embargo, no necesariamente esperes que esté hecho antes de que regreses porque justo ahora estoy saliendo...","legitimo"
"Mmm, qué delicioso, nena... Bonita sacudida para Suzy...","legitimo"
"¿Dónde estás amante? Te necesito ...,,,","legitimo"
"Intentamos comunicarnos con usted. ¿Cuál es su respuesta a nuestra oferta de un teléfono con video? ¿750 minutos de redes en cualquier momento? ¿TEXTO ILIMITADO? ¿Videocámara? Responde o llama 08000930705 YA,,,","smishing"
"¡¡¡Estoy estacionado al lado de un MINI!!!! ¿Cuando vienes hoy crees?,,,","legitimo"
"Sí,,,","legitimo"
"De todos modos, ahora voy a ir de compras por mi cuenta. Porque mi hermana aún no ha terminado. No te molesto liao.,,,","legitimo"
